,working_hours,location,model,const_year,extension,price
735,12079,NO,323,2013,E,70550
736,10031,PL,323,2011,D,60730
737,9240,PL,323,2017,F,117212
738,8800,BE,323,2008,D,55000
739,12200,NL,323,2010,D,49900
740,11500,DE,323,2013,E,66900
741,11241,SE,323,2008,D,45804
742,6733,DE,323,2009,D,77000
743,9216,NL,323,2009,D,51500
744,18849,AT,323,2008,D,45850
745,9576,NL,323,2011,D,57000
746,12530,IT,323,2008,D,35000
747,6547,DE,323,2017,F,92000
748,8911,PL,323,2011,D,71600
749,3900,PT,323,2019,F,140000
750,17786,NL,323,2008,D,45900
751,8920,PL,323,2012,E,53412
752,10000,PL,323,2007,D,40000
753,15000,NL,323,2010,D,46900
754,3510,SK,323,2017,F,139000
755,12329,NL,323,2009,D,53900
756,12558,NL,323,2008,D,48500
757,3463,NL,323,2020,D3,89800
758,9371,BE,323,2010,D,54000
759,1579,ES,323,2018,F,148000
760,7276,DE,323,2012,E,64000
761,4542,FR,323,2016,E,145000
